Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.0 (0.0),1.0 (0.0),0.572502522048 (0.00588360841944),0.166666666667 (0.235702260396),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),nan (nan),0.125304445145 (0.000601320065899),1.0 (0.0),0.0605161984762 (0.000717105495745),0.06684 (0.000342150064543),1.0 (0.0),0.00413219134013 (6.56964210527e-05),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.000199183348272 (0.000281687792525),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93314 (0.00034756294394),0.125304445145 (0.000601320065899)
0.0 (0.0),0.460191891758 (0.00676465558373),0.572582162662 (0.00584062507349),0.0 (0.0),nan (nan),0.0 (0.0),0.0912763456736 (0.00141641526737),nan (nan),nan (nan),0.136140458195 (0.00197817383854),0.238561472865 (0.00379169719787),0.09161790212 (0.000704262340973),0.0871895476267 (0.00223456321338),0.142406954383 (0.00484850911471),0.00427865982056 (0.000128219700119),0.132034686165 (0.00206216033091),0.0745829062351 (0.00108142981746),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.147174807404 (0.00231189137566),0.0 (0.0),0.779565848746 (0.0124763182402),0.0 (0.0),0.0875953702798 (0.00142665433033),0.0 (0.0),0.93316 (0.000342150064543),0.108155772189 (0.00310546928053)
0.31694635405 (0.00580522057905),0.997805799164 (0.000138990138467),0.828542832921 (0.00181012641319),0.182578814802 (0.00141883454154),0.367191520148 (0.00222190183756),0.204724046014 (0.011836444402),0.0912022118198 (0.000479946056407),0.290312520166 (0.0131269303881),0.293085033901 (0.00207775948582),0.12530601863 (0.000602977200062),0.95870508288 (0.00417417932869),5.31967433294 (1.02771079679),0.107641510209 (0.00104178544021),0.927399194431 (0.00241240533507),0.00389234224955 (0.000115602337373),0.166558467283 (0.000756715692874),0.0668408960358 (0.000343093891279),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.127851421576 (0.000614171925417),0.742470434957 (0.00343407685181),1.0 (0.0),0.436630959076 (0.00663804861381),0.0683016581353 (0.00035122979608),0.499980432141 (0.0149706072146),0.7606 (0.00129316150061),0.192891522918 (0.00162473111248)
0.647067491895 (0.0193723873915),0.623780495233 (0.00234375095162),0.804775115856 (0.00287286877986),0.594171614996 (0.00306105269184),0.00930642357894 (0.00154871461406),0.00129328953003 (0.000778386263445),0.299017736298 (0.0103299303249),0.002579668799 (0.0015506000699),0.0918269888955 (0.00259109839705),0.254401233133 (0.00287861006645),0.362337341306 (0.00497892648984),3.43542893728 (0.604718464),0.398512744124 (0.0150626751172),0.242458669503 (0.00512671078092),0.00400924682617 (0.000122326622783),0.327596866721 (0.00797093671997),0.151818184836 (0.00203112164355),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.301273446783 (0.00390676200103),0.049763489046 (0.00153982794585),0.784564953683 (0.00216243049055),0.00468815594409 (0.000785721798286),0.198617897547 (0.00361647701449),0.551948051948 (0.127356629293),0.934213333333 (0.000333199973323),0.301465797353 (0.00823165148666)
0.317390979931 (0.0045604723661),0.99800543737 (0.000279902904672),0.828573677033 (0.00172018917912),0.182540783412 (0.00134847395504),0.367368237316 (0.00215688961768),0.204724046014 (0.011836444402),0.0911369927049 (0.000472975077676),0.2901505025 (0.0131497777808),0.293012406584 (0.00193048460913),0.125304445145 (0.000601320065899),0.959103904435 (0.00404032478546),1.25197720528 (0.119886133722),0.107565809455 (0.00106936106208),0.927299602757 (0.00251315107157),0.00419155756632 (0.000113395100095),0.166455778116 (0.000749258293541),0.06684 (0.000342150064543),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.12791729407 (0.00064366033887),0.742169069853 (0.00266474539211),1.0 (0.0),0.436229686506 (0.00711766346226),0.0683383415577 (0.000368713736439),0.499040071679 (0.0154982564647),0.760613333333 (0.00121615057547),0.19276763377 (0.00166605093126)
0.585747126437 (0.0511193247348),0.622079420269 (0.00210019503367),0.803870884222 (0.00297141195543),0.586796731337 (0.00108462861283),0.00969170098038 (0.000712848324198),0.00139372138701 (0.000698084556085),0.30018884785 (0.00965745241066),0.00277993192466 (0.00139049558566),0.0942621048232 (0.00447745401444),0.253694130828 (0.00345618001314),0.359144216449 (0.00432919010912),1.1707470417 (0.120144788623),0.396318970829 (0.0200342630868),0.242860049266 (0.00231472235307),0.00427254041036 (0.000148762537162),0.326926915683 (0.00588042629832),0.151305051658 (0.00241142846685),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.301566792077 (0.00362425244913),0.0512586591988 (0.00265340705597),0.784866002995 (0.00382757468923),0.00488649910952 (0.00036044139564),0.199040550131 (0.00327743278163),0.567424242424 (0.145647756777),0.934173333333 (0.000319304800395),0.301013570993 (0.00703219011764)
0.316154141704 (0.0049693561423),0.997906231021 (0.000237889200876),0.828525928191 (0.00180239763104),0.182565511706 (0.00142074433559),0.366493596582 (0.00192537689817),0.204422750443 (0.011513599105),0.0911642450149 (0.000502245588172),0.289908270174 (0.0126090889159),0.293083419566 (0.0020725012484),0.12530601863 (0.000602977200062),0.95870508288 (0.00417417932869),2.29873379072 (0.933614809016),0.107569469685 (0.00106015858564),0.927399194431 (0.00241240533507),0.0039583047231 (0.000161143956816),0.166495115066 (0.000795952936244),0.0668408960358 (0.000343093891279),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.127864189999 (0.000595254202906),0.742670458488 (0.00334742339605),1.0 (0.0),0.436130480157 (0.00700082402815),0.0683084734567 (0.000340912015244),0.499373892114 (0.0139620509286),0.760533333333 (0.00133029654171),0.192775749661 (0.00165362228857)
0.448795648796 (0.0357919991313),0.644397875256 (0.00548763159148),0.801887932218 (0.0034790338495),0.564031054648 (0.0452270416053),0.00475253449279 (0.00347641399767),0.000100431856985 (0.000142032094243),0.27010399726 (0.00955557491708),nan (nan),0.0386456226626 (0.0115962152742),0.249290009192 (0.00264536804498),0.366343458523 (0.0112724384519),0.39732559522 (0.217512517864),0.335317925324 (0.0286884450906),0.201198164042 (0.0236313058583),0.00402069091797 (0.000139983315502),0.310685383187 (0.00501039388918),0.148065529591 (0.00174918620513),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.299997959566 (0.00405398755685),0.0200777765086 (0.00626474657464),0.788054263482 (0.00393798144533),0.0023944706265 (0.00175822941176),0.19552641198 (0.00343073858483),0.333333333333 (0.471404520791),0.933453333333 (0.000417718671942),0.251313364561 (0.0260870438203)
0.320478431575 (0.00775975756676),0.997703371149 (0.000790247520379),0.828025034768 (0.00113621634742),0.182557345355 (0.00141683314593),0.367380378608 (0.00104963389691),0.200187107676 (0.00906554996765),0.0899950743377 (0.00166316480927),0.287033638672 (0.00798408989835),0.293041764116 (0.00204826801766),0.125306007534 (0.000600503412806),0.960002048933 (0.00444222680305),0.697244723638 (0.0680361683702),0.106114469061 (0.00251949472407),0.928195997357 (0.00199924133296),0.00417232513428 (0.0001433109203),0.164557793579 (0.00276222106932),0.0668408888178 (0.000341685788401),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.128220391808 (0.000671040890098),0.742273247766 (0.00325159037012),1.0 (0.0),0.431022112762 (0.011842067931),0.0685128451734 (0.000386520804369),0.508621022598 (0.0149385185713),0.760613333333 (0.00131699995782),0.190443680204 (0.00402300176501)
0.149425287356 (0.211319267941),0.365745908478 (0.0104360727854),0.657122194667 (0.00365341111006),0.487834578276 (0.0250077185509),nan (nan),0.000903886712865 (0.00127828884818),0.144152625619 (0.00818829037587),nan (nan),0.0185898219514 (0.00400409384664),0.165831534666 (0.00215493787817),0.0560811758927 (0.00580963390414),0.359678109487 (0.0237889657553),0.213684441268 (0.0331148442838),0.0166598021727 (0.000914545194564),0.00430130958557 (0.000149007224972),0.0806948390348 (0.00726351766276),0.0929547527798 (0.00134685911956),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.173902402298 (0.0028393943484),0.00948602341649 (0.00208801643382),0.767997433585 (0.0096555600795),0.00261122828161 (0.00369283445031),0.114087042355 (0.00180168126842),0.1 (0.141421356237),0.93312 (0.00031496031496),0.0308589702809 (0.00160137319092)
0.305598776333 (0.0188737674328),0.998707620186 (0.000922333624483),0.819037543913 (0.0119551248707),0.177859328037 (0.00628739590888),0.344551097031 (0.0361185457323),0.136207444871 (0.0727749802821),0.0859343039418 (0.0050206384134),0.203348275208 (0.098862925702),0.286470545692 (0.00878448498979),0.125304445145 (0.000601320065899),0.966107210912 (0.00602014944219),0.115805784861 (0.015093271129),0.100382126666 (0.00829500756699),0.937193266755 (0.00922494206391),0.00392524401347 (0.000119164988445),0.15778096 (0.00842168814067),0.06684 (0.000342150064543),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.12650983001 (0.00137796892822),0.736144662074 (0.00844976704549),1.0 (0.0),0.397260691889 (0.062336214147),0.0675328647651 (0.000789150952434),0.517760933085 (0.0186401035651),0.75472 (0.00672816963718),0.181206882811 (0.0134455077268)
0.166666666667 (0.235702260396),0.65707803283 (0.0352177256933),0.757131201354 (0.0161881018636),0.544859429143 (0.0642258533197),nan (nan),0.0 (0.0),0.28088146141 (0.0220929312525),nan (nan),0.0277829230098 (0.002778743505),0.160258169634 (0.0134839616845),0.153968099426 (0.0410300911059),0.0797725518545 (0.00618429509395),0.431241157553 (0.1483866813),0.0470730710124 (0.0331741926121),0.00396633148193 (2.21844612397e-05),0.193559503756 (0.0295852540632),0.0879766263492 (0.00839340146847),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.252148257434 (0.0167779388363),0.014255634677 (0.00142269009776),0.911390246779 (0.0318723105046),0.0024897918534 (0.00352109740657),0.156438154284 (0.0137781206082),0.0 (0.0),0.933313333333 (0.000163571255285),0.0759960601932 (0.0446022171495)
0.0 (0.0),1.0 (0.0),0.572502522048 (0.00588360841944),0.166666666667 (0.235702260396),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),nan (nan),0.125304445145 (0.000601320065899),1.0 (0.0),0.0646936098735 (0.00617014586068),0.06684 (0.000342150064543),1.0 (0.0),0.00431942939758 (5.12154333724e-05),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.125304445145 (0.000601320065899),0.000199183348272 (0.000281687792525),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93314 (0.00034756294394),0.125304445145 (0.000601320065899)
0.0 (0.0),0.460191891758 (0.00676465558373),0.572582162662 (0.00584062507349),0.0 (0.0),nan (nan),0.0 (0.0),0.0912763456736 (0.00141641526737),nan (nan),nan (nan),0.136140458195 (0.00197817383854),0.238561472865 (0.00379169719787),0.091783285141 (0.000587819189582),0.0871895476267 (0.00223456321338),0.142406954383 (0.00484850911471),0.00419346491496 (2.54608519213e-05),0.132034686165 (0.00206216033091),0.0745829062351 (0.00108142981746),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.147174807404 (0.00231189137566),0.0 (0.0),0.779565848746 (0.0124763182402),0.0 (0.0),0.0875953702798 (0.00142665433033),0.0 (0.0),0.93316 (0.000342150064543),0.108155772189 (0.00310546928053)
0.315924156846 (0.00535666320294),0.99800543737 (0.000279902904672),0.82839472575 (0.00173413546813),0.182504862161 (0.00134818190863),0.367039389399 (0.00231123822947),0.206019786559 (0.0115561678445),0.0913661211427 (0.000520287528641),0.291397072611 (0.0127855281183),0.292950705942 (0.00194974826251),0.12530611279 (0.000603076481624),0.958605036348 (0.00390751791645),12.4595563412 (1.93988419654),0.107817054403 (0.0010639340589),0.926600256282 (0.00207992343177),0.00394781430562 (4.8303287698e-05),0.166830253031 (0.000830766730698),0.0668413978366 (0.000343623364863),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.128123703015 (0.000631487204984),0.741969886505 (0.00293482988577),0.999900793651 (0.000140298964521),0.438126337828 (0.00685198843522),0.0684561720342 (0.000361874942031),0.498635800665 (0.0145515373987),0.760606666667 (0.00118764005022),0.19315605788 (0.00166667604515)
0.596739130435 (0.0245148258319),0.623581311885 (0.00208750966125),0.804865042627 (0.00283768678406),0.596324741745 (0.00559312749686),0.0100904459535 (0.00176359092736),0.00149170222844 (0.00105651910316),0.298109947511 (0.0099864092268),0.00297402666715 (0.00210340320943),0.0935288800177 (0.00432884388999),0.254957118461 (0.00275768551943),0.364820127778 (0.00681629480297),6.16785176595 (1.0871283768),0.398620156367 (0.0164819103065),0.246352719796 (0.0044803669346),0.00391308466593 (2.51847473587e-05),0.328073426485 (0.00848686171485),0.152252506096 (0.00198940550882),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.301561147301 (0.00384144496055),0.0507574096297 (0.00257426496826),0.783572959724 (0.00259376939729),0.00508904318918 (0.000894715438395),0.198887126058 (0.00354996326136),0.565934065934 (0.146680315386),0.934253333333 (0.000344995974212),0.304473776933 (0.00823690426425)
0.316537259679 (0.00511039173499),0.998105869227 (0.000368833194256),0.828397624114 (0.0016756196794),0.182308013287 (0.0013483713876),0.367553682563 (0.00244543433811),0.205921805718 (0.0119284917355),0.091334884626 (0.000541634322472),0.291112281701 (0.0133861944576),0.292650425606 (0.00195845451449),0.125315462019 (0.000612998215608),0.958605036348 (0.00390751791645),1.50731992722 (0.0603307133116),0.107828963067 (0.00111509161811),0.926799894488 (0.00217449325382),0.00425887107849 (6.69238870575e-05),0.16677815486 (0.00086922661076),0.0668462737567 (0.000348801507309),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.128150489722 (0.000635753990234),0.741370201236 (0.0030098408244),1.0 (0.0),0.438421051002 (0.00771332456602),0.0684710003623 (0.000364787378992),0.497559738727 (0.0158167404492),0.760453333333 (0.00113517497428),0.193179247252 (0.0017462566826)
