Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.711804511278 (0.0244845865402),0.698263700888 (0.00469372737187),0.859141000544 (0.00147152398116),0.605167804137 (0.0112735171259),0.0128586584243 (0.00271518128385),0.000901366164318 (0.000738029018937),0.369744926273 (0.00554576956843),nan (nan),0.246590866716 (0.00514148327321),0.291373208638 (0.00274758891885),0.52532115467 (0.00336811495331),3.30681856473 (0.00437213717075),0.414681310896 (0.00657922419914),0.456322345834 (0.00180372340837),0.22514128685 (7.85988591355e-05),0.433988388327 (0.00418510298337),0.176752623697 (0.00212128595548),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.374404659641 (0.00158111624963),0.154908422184 (0.00457946907631),0.82904354505 (0.00260014972591),0.00649004808988 (0.00138236163248),0.255776658405 (0.00100015168646),0.583333333333 (0.424918292799),0.936746666667 (9.42809041582e-05),0.43447257794 (0.00337088123364)
0.767792207792 (0.100888948164),0.701539228438 (0.00754379276922),0.858701301638 (0.00237322848396),0.61078795634 (0.00881088040884),0.0093223317497 (0.0025150500911),0.000901366164318 (0.000738029018937),0.371593160426 (0.00910701690057),nan (nan),0.228413156397 (0.00617865098529),0.289083262396 (0.0045645862521),0.520616820866 (0.00582256782579),2.84313019117 (0.0408724443874),0.418533528392 (0.00819775696265),0.450818094631 (0.00191217563475),0.224275986354 (0.000998520052599),0.433633594387 (0.00800849536094),0.174886268533 (0.00326542314013),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.374496833593 (0.00427709214961),0.140528477079 (0.00499954836168),0.833234860939 (0.00165851696127),0.00469375909208 (0.00127452180423),0.255429028834 (0.00319678778946),0.619047619048 (0.441600880738),0.93656 (0.000184028983225),0.434049086684 (0.00519753716916)
0.772218801314 (0.0537210808987),0.704736661402 (0.0060874684208),0.85541038855 (0.00154661743518),0.606732325141 (0.012698472665),0.0146239378038 (0.00124020314119),0.00100057251352 (0.000620909123237),0.364701162668 (0.00718059284697),0.0019976529302 (0.00123820784482),0.24322465764 (0.0076664693212),0.284350092429 (0.00347682131229),0.532385923014 (0.00598306855808),3.40886624654 (0.00542213493143),0.409911491234 (0.00761388147402),0.460598199638 (0.00219803877444),0.224494059881 (0.000391887883468),0.432858924979 (0.00686261840188),0.171649951664 (0.00257696859667),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.368800134118 (0.00441871049181),0.152188113958 (0.00635379497021),0.828164130833 (0.00342295244359),0.00738231130884 (0.000629267113677),0.249758674979 (0.00359531284643),0.916666666667 (0.117851130198),0.936726666667 (0.000176131264182),0.433754213609 (0.00503969707493)
0.733445566779 (0.111960948657),0.704038294175 (0.00608755458623),0.854852945687 (0.0020685063014),0.609002160733 (0.0152942135767),0.0095130557382 (0.000513811130351),0.000600910776212 (0.000492019345958),0.366039971545 (0.00839436960058),nan (nan),0.231643566628 (0.00737537132352),0.282184816042 (0.002889908708),0.529474694203 (0.00970605808993),3.00998878479 (0.00700851051672),0.413988100351 (0.00654691227857),0.454206030984 (0.00383169198006),0.223626931508 (0.00260375185796),0.432824328045 (0.00868169259953),0.170109699165 (0.00212977266307),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.367525559909 (0.00330456345809),0.143121815261 (0.00612122498397),0.827257932171 (0.00177716032626),0.00478851826809 (0.000262118354113),0.248671979556 (0.0024566243333),0.6 (0.432049379894),0.936566666667 (0.000146363322667),0.433136484076 (0.00425097851791)
0.722222222222 (0.207869854821),0.678234591239 (0.00231488333147),0.861577213574 (0.00247507572658),0.63398318084 (0.0251261394559),0.00278518470769 (0.000551509330671),0.0 (0.0),0.393011356386 (0.0130534210058),nan (nan),0.197414530453 (0.00883027379339),0.280923587274 (0.00708594879444),0.486814911619 (0.00605675519957),0.739412148794 (0.0028022543176),0.440872947477 (0.00739153489203),0.413004123141 (0.00440940053276),0.107147693634 (0.000364489272948),0.434782572319 (0.00835413851746),0.168290826798 (0.00517858009237),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.38280014156 (0.00439813790078),0.116969824473 (0.00596847171438),0.850209615994 (0.00393670628315),0.00139533221972 (0.000276072491381),0.266668086716 (0.00420763475667),0.0 (0.0),0.936453333333 (0.000306521704869),0.426478820816 (0.00576847879103)
0.25 (0.353553390593),0.68129828925 (0.00862463473283),0.860475932737 (0.00227704493069),0.639436081124 (0.0321763139068),nan (nan),0.0 (0.0),0.403530104138 (0.0120826272502),nan (nan),0.159941936939 (0.0161495041179),0.275796283816 (0.00474354216741),0.468232166197 (0.0138517535804),0.702557961146 (0.0467590042802),0.44345893743 (0.0138977542702),0.39675767189 (0.00271603412814),0.107122103373 (0.000317195428414),0.433337851708 (0.0101215046889),0.164490533821 (0.0033664783573),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.378411441568 (0.00565573208901),0.0915346588485 (0.0104111468118),0.85328918186 (0.00160177081606),0.00060259114191 (0.000852192565455),0.261997900932 (0.00535718171405),0.0 (0.0),0.935826666667 (0.000312552217859),0.41874521545 (0.00762552167444)
0.764202898551 (0.0136401374677),0.693554919911 (0.00816007641794),0.852496522783 (0.002115088268),0.600560514762 (0.00952044564359),0.0204708602551 (0.00203316649854),0.00160025778196 (0.00086729407575),0.361982371986 (0.00898707344817),0.00319306698353 (0.00172812173828),0.24875229721 (0.00379413978553),0.284027359716 (0.00355600466204),0.520487817005 (0.0114900617423),1.20532647769 (0.0465224989229),0.408938122398 (0.00849479902228),0.452393109268 (0.00628337564473),0.106969038645 (3.77075060915e-05),0.426999142897 (0.0101159889887),0.171576403333 (0.00257325231713),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365870664119 (0.00404703305362),0.156892024777 (0.003211231415),0.82436697494 (0.0024156821097),0.0103755893609 (0.00104277253122),0.248478815075 (0.0028946256332),0.911111111111 (0.0684934889219),0.936666666667 (8.05536398239e-05),0.429555968488 (0.00726270161348)
0.701983717464 (0.0656515741259),0.692373755265 (0.00520964993158),0.85275128075 (0.0010684868479),0.604547947415 (0.0187273251952),0.0136263943244 (0.00164577038274),0.000999347005746 (0.000379077489618),0.367383033862 (0.0080249865492),0.00199611052278 (0.000756127619148),0.241547711021 (0.00336216209868),0.28274409212 (0.00179201807213),0.512138192831 (0.00783261686381),1.00575796763 (0.0483691817734),0.414047182432 (0.00821721782976),0.441931194432 (0.00451828485477),0.106927951177 (4.83319147371e-05),0.427843950278 (0.00817085290482),0.170406649103 (0.00145000170049),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365224005119 (0.00315459410813),0.151004953154 (0.00351344326679),0.829840663768 (0.00394242426419),0.00688137753169 (0.000838901426651),0.248029837368 (0.00227280647192),0.944444444444 (0.0785674201318),0.936626666667 (0.000386551707049),0.427518210475 (0.00628066302871)
0.782891100055 (0.029167942702),0.69665374045 (0.00739776507364),0.84798824 (0.00228984584712),0.589004662938 (0.0137296428109),0.0227785307409 (0.00679791251784),0.00129973286086 (0.000926316615543),0.357929575337 (0.00806907779155),nan (nan),0.249093271158 (0.010462095502),0.279934327057 (0.00102261134379),0.524307486896 (0.00600298188054),1.23853071531 (0.00193787803536),0.402362024384 (0.00679747180679),0.449821059575 (0.00220233129208),0.107248624166 (0.000443446863925),0.425407541086 (0.00737189492797),0.16890432627 (0.000641949828613),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.361123438911 (0.00353189981814),0.158084256654 (0.00868418927958),0.816981441966 (0.00268628875537),0.0115695711358 (0.00350090819151),0.243734222825 (0.0023369112313),0.481481481481 (0.343467351685),0.93634 (7.11805216802e-05),0.424742161834 (0.00414288708581)
0.729365079365 (0.0615476062551),0.701940570541 (0.00697883861619),0.848009721029 (0.00101176720721),0.595958226156 (0.0102152964241),0.0152055164687 (0.00270871069128),0.000400887245091 (0.000376007958196),0.359888808926 (0.00550563109796),nan (nan),0.235694198927 (0.0059877705311),0.277222201123 (0.00265625147943),0.521608991551 (0.00730559297025),1.0725402832 (0.0466771787996),0.4079100552 (0.00715876160835),0.449513320673 (0.00350392028775),0.10710922877 (0.000189047475515),0.425906119431 (0.00600787159624),0.166804811782 (0.00193314407619),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.360144318591 (0.00476736409083),0.14689774641 (0.00403227079972),0.820173170376 (0.00127773546741),0.0076868980782 (0.00138424895854),0.24221971284 (0.00387745898191),0.583333333333 (0.424918292799),0.936326666667 (6.79869268479e-05),0.427690839665 (0.00546226492263)
0.5 (0.353553390593),0.678810499341 (0.00506979195599),0.862526120979 (0.00215002873592),0.649753469968 (0.0287824868321),nan (nan),0.0 (0.0),0.401090518543 (0.0124312889324),nan (nan),0.191817605537 (0.0157675818113),0.281426707858 (0.00389799969116),0.489599480392 (0.00537016453252),1.46313667297 (0.00372517765383),0.444539994411 (0.00692601753999),0.418398946734 (0.0033744609465),0.112252950668 (0.000130415761853),0.440900572731 (0.00959940119925),0.168563330279 (0.00281900912899),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.384852167043 (0.00406714493432),0.112782292301 (0.0113800427107),0.851903407444 (0.00359822796707),0.000901366164318 (0.000738029018937),0.268558742993 (0.00327212511396),0.0 (0.0),0.936593333333 (0.000146363322667),0.431048718288 (0.00414564363354)
0.5 (0.408248290464),0.680085620641 (0.00941852200783),0.862127863617 (0.00258594470557),0.647492722777 (0.0280857564976),nan (nan),0.0 (0.0),0.398091635104 (0.0104980222535),nan (nan),0.159144736365 (0.0101043242071),0.277839283085 (0.00267056369482),0.483411712909 (0.00876196177059),1.29590670268 (0.044506482222),0.447996093067 (0.0106000792585),0.405416437199 (0.00841060821241),0.112116495768 (0.000177430131931),0.436509751803 (0.00711168375412),0.165940402199 (0.00181441692308),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.382753308911 (0.00213365673479),0.0908667525903 (0.00702955307465),0.853183740779 (0.00245468672688),0.000300455388106 (0.000246009672979),0.266338490985 (0.00168664549472),0.0 (0.0),0.935886666667 (0.000131993265821),0.425519872089 (0.00596118593613)
0.710037878788 (0.056932334823),0.697141547093 (0.00896272537996),0.855787758712 (0.00157121180159),0.605075314 (0.0228256909209),0.0161728015522 (0.00196610916819),0.0013006425767 (0.000794260878241),0.371414332159 (0.00700751117619),0.00259520585872 (0.00158158761349),0.243858044084 (0.00776460634562),0.287880012301 (0.00395201156679),0.520203223685 (0.00865359479718),2.12884799639 (0.046864365855),0.415104846348 (0.00759283315562),0.449224141114 (0.00263949880589),0.112338463465 (0.000636811943514),0.43336790539 (0.0070275320003),0.17418487847 (0.00287414353572),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.37153360525 (0.00245652956485),0.152789864917 (0.00598392125204),0.829150066786 (0.00131748634364),0.00818117992554 (0.00100300251761),0.253260234141 (0.00157244314),0.909090909091 (0.128564869307),0.936686666667 (0.000319304800395),0.431452064986 (0.00427670542077)
0.769892473118 (0.116896442212),0.696163242319 (0.00522959497095),0.855967714024 (0.00229458983878),0.604779813699 (0.0129490605859),0.00952095611317 (0.0025988585772),0.0010017980213 (0.000864247810228),0.373587987263 (0.00859240665987),nan (nan),0.228102773542 (0.00520532869178),0.285030809756 (0.00287220163079),0.51721705242 (0.00750577807076),1.86495463053 (0.0023752871813),0.418973245612 (0.00891480759022),0.446424721394 (0.00283976617197),0.112407604853 (8.29624334864e-05),0.433811394936 (0.00830745451898),0.172090450363 (0.00206061844131),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.370014784036 (0.00263264470558),0.140635491332 (0.00465015257672),0.829355447206 (0.00242237914947),0.00479348983219 (0.00131907808925),0.251969685698 (0.00181444419772),0.592592592593 (0.428734700103),0.9364 (0.000311555238548),0.432233571284 (0.00582811687526)
0.786894036894 (0.0919794577857),0.70043314531 (0.00891004171197),0.853060709106 (0.00198062779905),0.610218350352 (0.0192766976503),0.0196985931625 (0.0031678995976),0.000800934307333 (0.000618704792038),0.363319755417 (0.00631687421536),nan (nan),0.250811497686 (0.00609535238327),0.284574582276 (0.00214538827365),0.526175004163 (0.0113012650884),2.26502633095 (0.00285103679016),0.4095386041 (0.00687648138123),0.453197928697 (0.00464207489069),0.11132868131 (0.000134030029532),0.429830690455 (0.00802621327559),0.171854242329 (0.00146828341161),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.366310638427 (0.00362827557322),0.157995202032 (0.0060159436893),0.827073593982 (0.00488866621642),0.00998005900488 (0.00163068987458),0.248009320947 (0.00233005886244),0.458333333333 (0.328083661417),0.93694 (0.000325371582451),0.430254299047 (0.00570451496874)
0.806127899878 (0.0763550133836),0.702824287078 (0.00956545309618),0.853260402519 (0.00216635910088),0.60815455897 (0.0104535812744),0.0144257383331 (0.0029288380727),0.000800934307333 (0.000618704792038),0.36860069965 (0.00700514869421),nan (nan),0.23563408828 (0.00887338660751),0.282485251391 (0.00283880140273),0.524498931872 (0.00745386862114),1.96435046196 (0.00264979118877),0.412213892745 (0.0127929984016),0.446308427469 (0.00619846214417),0.111873467763 (0.000608644056951),0.432920824504 (0.00675171400009),0.170246683515 (0.0020386602534),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365888159763 (0.00476275209545),0.146245392215 (0.00725963707431),0.829148910811 (0.00163355782011),0.00728219524379 (0.00149359204733),0.24733288953 (0.0035739570005),0.611111111111 (0.43744488189),0.93662 (0.000424578222082),0.428541116037 (0.00947670025172)
0.814102564103 (0.133542734974),0.683168686305 (0.0107839978084),0.862943875842 (0.00251489430921),0.633280624424 (0.0257947162971),0.00259591071784 (0.00204345372214),0.0 (0.0),0.398734420054 (0.00963117239434),nan (nan),0.194181480681 (0.00726196233843),0.280794411763 (0.00489278716082),0.486210709644 (0.00680297799699),2.8021496137 (0.00261400982199),0.443940000981 (0.0091744107408),0.413317320338 (0.00518953155552),0.22625541687 (0.000426956265427),0.438097360146 (0.0074201797132),0.168113718195 (0.00350534112483),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.384096479987 (0.0023805188273),0.114817676226 (0.0058471896999),0.851894304499 (0.00182612931703),0.00130186808448 (0.00102640065321),0.26716688793 (0.00145691973732),0.0 (0.0),0.936346666667 (0.000322628096868),0.428057882983 (0.00652472216466)
0.333333333333 (0.471404520791),0.675715494392 (0.00540583907368),0.862814123447 (0.00217276403417),0.64902289187 (0.0265225502511),nan (nan),0.0 (0.0),0.403462749072 (0.00952662175235),nan (nan),0.158276589647 (0.0102891140367),0.27906857814 (0.00439534989932),0.47590988601 (0.0109939463654),2.43571925163 (0.0505403780394),0.450113569539 (0.0106499945462),0.402617226078 (0.00730761779162),0.226619243622 (0.000339155324209),0.436672194912 (0.0095309835742),0.166733007118 (0.00308913152463),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.386465012766 (0.00316066231451),0.0902695183374 (0.00710253473364),0.855586474168 (0.00245557738456),0.000100431856985 (0.000142032094243),0.270621577442 (0.00224607174421),0.0 (0.0),0.935893333333 (0.000132999582288),0.425016004604 (0.00821327874682)
0.763883699368 (0.0623851006825),0.697759160121 (0.00551168132279),0.857650250054 (0.00215822253724),0.605938008756 (0.0150605720449),0.0165695059416 (0.0024724252417),0.0010017980213 (0.000864247810228),0.371734714628 (0.00892830217446),nan (nan),0.244214755355 (0.00525837086131),0.289679184956 (0.00355018320358),0.522006271805 (0.00736839235975),4.17921614647 (0.0527936095108),0.415279801018 (0.0104236000507),0.449815456427 (0.00292849851296),0.225331068039 (0.0001246404051),0.434207623924 (0.00811072290383),0.175446382283 (0.00264093772251),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.374404958979 (0.00275122126341),0.152997380561 (0.00463050662925),0.830436950645 (0.00146284902553),0.00837707207541 (0.00126011304331),0.255844500129 (0.00194266226631),0.592592592593 (0.428734700103),0.93672 (0.000198662192343),0.431818909122 (0.00689337805031)
0.765727351378 (0.0589610654028),0.701160116414 (0.00371263439078),0.857939917302 (0.00189097737125),0.605841918904 (0.00990006117557),0.0126591179153 (0.0010975775801),0.000701342633197 (0.000619380635681),0.375168865223 (0.00820149549812),nan (nan),0.225845619447 (0.00510539902258),0.286759975778 (0.00343400866774),0.518816716278 (0.00725722852528),3.67600226402 (0.0440223259309),0.420797603675 (0.00494129692568),0.446030138414 (0.00312753835463),0.225293080012 (0.000849012774471),0.435425293537 (0.00749335289026),0.173214946181 (0.00259376843607),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.373393493973 (0.00346751443409),0.138843858107 (0.00425527792426),0.832640955544 (0.00211382967015),0.00638296430309 (0.000557751325142),0.254451125057 (0.00277184260421),0.611111111111 (0.43744488189),0.936393333333 (0.000174610678049),0.433032451061 (0.00339850616017)
0.714309617535 (0.0335956227188),0.698942529523 (0.00807267289681),0.854745393032 (0.00166719963314),0.604674829921 (0.0122366514734),0.0142223705894 (0.000882711242743),0.00110054951259 (0.000788686655177),0.365714459896 (0.00628752262236),nan (nan),0.247406032692 (0.00552899421795),0.286432913082 (0.00257455616183),0.527788148606 (0.00771903874945),4.3470372359 (0.0477730699365),0.410584844611 (0.00611797904483),0.454706263644 (0.00269160162629),0.225041071574 (0.000983121284352),0.432047466097 (0.00685288726539),0.173206231985 (0.00193272872419),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.367842634981 (0.0037290369185),0.155594079475 (0.00496587603092),0.827264830359 (0.00307266075124),0.00718312796057 (0.000450108406094),0.249604136719 (0.00249064168675),0.527777777778 (0.37474271009),0.936746666667 (0.000189267594221),0.431500960571 (0.00401893346619)
0.745614035088 (0.0412933413893),0.70414149284 (0.00544233201199),0.855285391887 (0.00223471456945),0.61578877141 (0.0192109903473),0.00932354901659 (0.0023279035805),0.000700502450348 (0.000511126831793),0.368874635022 (0.00750330302785),nan (nan),0.235020102478 (0.00538541896967),0.283634002578 (0.0028336827152),0.525505701458 (0.00559443625819),3.78120088577 (0.0447382017906),0.416704231415 (0.0090351904535),0.450813893717 (0.0028264199582),0.224011659622 (0.00168803493602),0.433456377699 (0.00679517896067),0.171019210841 (0.00207325788442),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.368838884481 (0.00409967492542),0.145326414084 (0.00490863169158),0.830642015274 (0.000413171578706),0.00469382862507 (0.00118163807182),0.249866737874 (0.00331672255357),0.6 (0.432049379894),0.936786666667 (0.00020677416559),0.433054296341 (0.00584470038824)
0.694444444444 (0.274985970461),0.684492057265 (0.00894050794661),0.860532238093 (0.00237510521919),0.643641448731 (0.0270002674651),0.00179787864712 (0.00130182698896),0.0 (0.0),0.398395918146 (0.00918939625961),nan (nan),0.184729513441 (0.00693629284523),0.287923036354 (0.00549968069656),0.488790074723 (0.00794777870746),0.639013767242 (0.00352742640266),0.440595369616 (0.00820851946075),0.416001292102 (0.00470542852454),0.10740796725 (0.00031405705369),0.438942034405 (0.00767842332024),0.17389641469 (0.00415589812185),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.378811552066 (0.00177658092942),0.107946204163 (0.00524055822609),0.836830034803 (0.00327421873231),0.000900595514459 (0.000652789608992),0.26189640854 (0.00230228035783),0.0 (0.0),0.936346666667 (0.000339934634239),0.427900957323 (0.00485164856705)
0.619047619048 (0.441600880738),0.679529876926 (0.00245799420277),0.860344776681 (0.00210848501803),0.640658625283 (0.0179515788608),nan (nan),0.0 (0.0),0.406206588502 (0.0151482621517),nan (nan),0.173521265131 (0.00854733588224),0.28790872694 (0.00531001394349),0.469046366704 (0.00824577067764),0.567885398865 (0.0481286011201),0.446885189297 (0.011393195012),0.402942539287 (0.00191473994916),0.107363859812 (0.000260912896341),0.435274778742 (0.0111809384563),0.173976690181 (0.00410179774653),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.379498825013 (0.00605422610347),0.100428312383 (0.00595003205426),0.834835579365 (0.00573597960035),0.000702182816046 (0.000791228823064),0.263295824092 (0.00575350504716),0.0 (0.0),0.936093333333 (9.28559218479e-05),0.423731907872 (0.00615961100127)
0.84188034188 (0.125760162133),0.699162439311 (0.00385382831954),0.85749026308 (0.00112666389461),0.61711185204 (0.012888739933),0.00577300731242 (0.00247451268942),0.0 (0.0),0.371421522974 (0.00747168254997),nan (nan),0.230013665458 (0.00662760483272),0.287475706769 (0.00222604702345),0.524600412511 (0.0069648316915),0.937771717707 (0.00109031372312),0.418070340078 (0.00648131801314),0.45219522096 (0.00576488541764),0.10715285937 (0.000331208308259),0.434895315036 (0.00699543584123),0.17373023747 (0.00177899255727),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.369639482463 (0.0041929079163),0.1414318394 (0.00551634804137),0.83274163366 (0.00351716212511),0.00289883466803 (0.00124640382935),0.251242073549 (0.00361224634627),0.0 (0.0),0.936733333333 (0.000156914697279),0.434457106582 (0.00594658996346)
