Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.690046296296 (0.0669945959883),0.697941325426 (0.00857949587223),0.857044362664 (0.00188259344735),0.64512275322 (0.020767637472),0.015578469327 (0.000725129296149),0.00339241539851 (0.000517009841946),0.390949063633 (0.010123479947),0.00675470885888 (0.00102654074403),0.190553664866 (0.00268115184429),0.283115665932 (0.00386346188792),0.483100853748 (0.00839482631383),2.12735056877 (0.0247918258458),0.439560517641 (0.0102498260817),0.405129563802 (0.00383253141459),0.22446902593 (0.00126033237718),0.432151612191 (0.00935072386314),0.170311269904 (0.00286546770818),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.366811879847 (0.00316860553369),0.111802825765 (0.00160213863739),0.83871733692 (0.00207355331522),0.00787995388758 (0.00037913558078),0.248782928519 (0.00185226472644),0.771385477268 (0.0674592253772),0.93652 (0.000188325958558),0.421601137426 (0.0060269653318)
0.671170834889 (0.0914807304321),0.694581228088 (0.00290275407913),0.856426127975 (0.00269355537348),0.632739074528 (0.0190001871972),0.0202226812242 (0.00254904209701),0.00449135407839 (0.000669021782476),0.391409538193 (0.0111418938109),0.00892371276354 (0.00132104690846),0.194331251561 (0.00662350404322),0.283720219873 (0.00453434948188),0.484009187634 (0.00631342960496),2.57810322444 (0.0426204093073),0.436762127277 (0.00914772245372),0.402556042343 (0.000657754574754),0.225882609685 (0.00172024980144),0.432778185408 (0.00911077121268),0.170835780628 (0.00335025358484),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.365101183409 (0.0030461842149),0.114802648554 (0.0041146278467),0.836713216487 (0.00363272179345),0.0102668947414 (0.00129527603757),0.247640654369 (0.00265883233082),0.70224873166 (0.0952266475881),0.93638 (0.000425519290593),0.41891283828 (0.00403723347954)
0.638471911045 (0.03373922595),0.669360085184 (0.000710386741235),0.811778170966 (0.00110196629855),0.515840784709 (0.00502947564777),0.0401832603865 (0.000803762454443),0.00509019916397 (0.000674116797682),0.298371583357 (0.00618272320165),0.0101031948235 (0.00133276839893),0.238475228939 (0.0027346557328),0.286650706258 (0.00303641648245),0.526707346284 (0.004579543706),0.717763264974 (0.0397576223857),0.367802343638 (0.00843721282401),0.421266019606 (0.00841810301979),0.107516288757 (0.000220902329664),0.38093134184 (0.00623107403927),0.176923471164 (0.00232233965948),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.332276652915 (0.00420427874309),0.155108338522 (0.00261585738573),0.754844370664 (0.00175280775746),0.0207481337824 (0.000463968719966),0.221003421977 (0.00369673865335),0.677248677249 (0.0882186878335),0.933793333333 (0.000164384373413),0.392722103504 (0.00846702968682)
0.564882575214 (0.0206583958562),0.649458763639 (0.0111104637041),0.802134833777 (0.00323515107226),0.470184881258 (0.00641053308729),0.0648700377953 (0.00170723886871),0.00987801631519 (0.0015503113004),0.289222506587 (0.00574853698852),0.0193928532064 (0.00304574725795),0.248989578999 (0.00420189216755),0.288149402964 (0.00271374421035),0.517721625061 (0.00680341372602),0.918203512828 (0.0484230320735),0.348342985677 (0.010619773258),0.412930438069 (0.0055209020807),0.107723792394 (0.00020887584279),0.371110799287 (0.00631297024695),0.179461348087 (0.00187236605632),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.329116117572 (0.006161185919),0.169367826449 (0.00393988969077),0.730683512242 (0.00400281997543),0.0344111204457 (0.000884515210622),0.220407926928 (0.00435751469196),0.527731698326 (0.0867352397145),0.93188 (3.26598632371e-05),0.377864877476 (0.0084604949506)
0.619467703349 (0.0388147834349),0.693563005947 (0.00697256370661),0.827594304551 (0.0036688189989),0.530382639517 (0.0129213834947),0.0248240774215 (0.000241537009884),0.0034944580882 (0.000724782474006),0.322951697006 (0.00451031548303),0.00695229331514 (0.00143906815224),0.244560073244 (0.00665457996048),0.276716325422 (0.00363349602279),0.521120799582 (0.00484522133193),1.2770028909 (0.013555431583),0.376248117193 (0.00855831329342),0.43852484359 (0.00711448784167),0.21262605985 (0.000319777615038),0.398763811988 (0.00453993585479),0.167699545861 (0.00244586631458),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.330864312941 (0.00530340581563),0.158990487189 (0.00557767471434),0.790833127701 (0.00557817099874),0.0126672466479 (0.000142085277822),0.217256957703 (0.00393376426135),0.670565302144 (0.0955364581274),0.9348 (0.000235513623102),0.405001063674 (0.00795935605704)
0.521801766309 (0.024320005824),0.679012165578 (0.00692943432402),0.818850897497 (0.00136018729476),0.495210477986 (0.013461187893),0.0434029714692 (0.00236780079278),0.0078820891112 (0.000647765503312),0.31081007895 (0.00423253102123),0.0154935829429 (0.0012711334126),0.258289339274 (0.00307726497264),0.279351227273 (0.0023200561643),0.51084826982 (0.00504018562788),1.65432715416 (0.0492574610977),0.354631799078 (0.00662180383369),0.427555203982 (0.00757760410104),0.214099089305 (0.000957073696376),0.386469766234 (0.00437365700747),0.170812111835 (0.0017234760228),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.329457711399 (0.00558696636745),0.174745910131 (0.0021971656538),0.766307660536 (0.000393211165092),0.0226436291294 (0.00124619821673),0.217496938009 (0.00416124078248),0.452752479255 (0.0419452153009),0.93348 (0.000283313724812),0.387693133944 (0.00704690153634)
0.612075617284 (0.0133673735641),0.690286884474 (0.00363330122237),0.83477088851 (0.00133624517725),0.550193603194 (0.00338567896513),0.0227093324012 (0.00215145965429),0.00359359490442 (0.000661236439427),0.335333142384 (0.0050391216588),0.00714990263272 (0.00130820624163),0.240994771685 (0.00241259554118),0.271056606847 (0.00218831077797),0.51553506119 (0.00542191138575),2.32869839668 (0.0199621497593),0.378022270306 (0.00573239161932),0.443414602025 (0.00655051719732),0.323883930842 (0.00204999424684),0.406342509934 (0.0050836433603),0.162814844115 (0.00168489834699),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.342764552182 (0.00346654786799),0.15430113761 (0.00220534594137),0.808820571282 (0.00479914985139),0.0115723002833 (0.00112092203851),0.227989544258 (0.00272744151415),0.734130781499 (0.0597815994287),0.935113333333 (0.000237954243968),0.408105842195 (0.00577715204966)
0.546168414653 (0.00298379895768),0.670347739162 (0.00218323216355),0.825673733305 (0.00286954534857),0.498389749332 (0.00787913517414),0.0408934705371 (0.00123368675562),0.00738283569975 (0.000638956488122),0.318903600596 (0.00489838342989),0.0145492534673 (0.00127229925265),0.249622131461 (0.00801487179678),0.274355372153 (0.00294320397108),0.504761067473 (0.0052019068938),2.97928746541 (0.0185263458161),0.35717245268 (0.0067199155868),0.437028207458 (0.00735252421776),0.324336608251 (0.00212786912095),0.39085361878 (0.00495989791669),0.166271398043 (0.00211324638315),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.338526963549 (0.00331180646648),0.166581015258 (0.00686892566304),0.784056527794 (0.00117951074009),0.0212428009547 (0.000666582210444),0.226450526443 (0.00297216716736),0.499611801242 (0.0758853277653),0.9335 (0.000169705627485),0.393055362342 (0.00614574854858)
0.688762626263 (0.117529414181),0.693472030488 (0.00504063696132),0.848135380968 (0.00134020936088),0.711682037769 (0.0812074823421),0.00556538049956 (0.001853195183),0.000802229348102 (0.000932028853169),0.484492732917 (0.0140881784091),nan (nan),0.0262272945392 (0.00158594653684),0.240531075794 (0.00215990619322),0.309491070515 (0.0032017686274),0.353845437368 (0.0230349885623),0.562918890538 (0.0148447237065),0.189911495314 (0.0102797544446),0.108385801315 (0.000178037228126),0.377599306188 (0.00388033134665),0.139257724581 (0.00144357035652),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.350167220182 (0.00464285235921),0.0133623922092 (0.000811917178156),0.881910895733 (0.00131964770457),0.00279672244535 (0.000935037496506),0.2342215399 (0.00358899384268),0.566666666667 (0.418993502999),0.93368 (0.000188325958558),0.283699382026 (0.0100607781911)
0.735930735931 (0.188597583643),0.691403162776 (0.00994000276694),0.848764480191 (0.00272828492466),0.687865631387 (0.0980424484418),0.00457763277642 (0.00198379714429),0.00040172742794 (0.00056812837697),0.479858348509 (0.00982413820171),nan (nan),0.0271514661178 (0.00574249075365),0.248256575139 (0.00750021891621),0.322217681466 (0.0113754379429),0.399704853694 (0.0462671392678),0.547703485111 (0.0175358278682),0.192380966352 (0.00496669903263),0.108763456345 (4.37292865948e-05),0.385484064188 (0.010540181382),0.144658854832 (0.00514390499866),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.348016213544 (0.00819215620777),0.0138503697917 (0.0029485994783),0.875712307278 (0.00350002276703),0.0022991493996 (0.00100086760645),0.232624188879 (0.00766821201883),0.222222222222 (0.314269680527),0.93368 (0.000160831174424),0.284716257972 (0.00733164425339)
0.767676767677 (0.164742489195),0.695094416943 (0.00172270165484),0.850696096956 (0.00266517769286),0.69109535067 (0.121871121782),0.00458017699799 (0.00278514457423),0.000999347005746 (0.000379077489618),0.489573461651 (0.0128255032589),0.00199563094756 (0.000755772767509),0.0221685182783 (0.00114174987042),0.247374485947 (0.00242276477773),0.320591035111 (0.00759997457968),0.651892503103 (0.00102106599627),0.567571779666 (0.0146837354304),0.198638234326 (0.0153893614616),0.113357226054 (0.000648536819297),0.387333375997 (0.00648214603809),0.143967510164 (0.00161429610413),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.345785703606 (0.0067486076568),0.0112678525799 (0.000558270477802),0.87812760575 (0.00301381359495),0.00230121509023 (0.00140436270704),0.230182452725 (0.00616507751154),0.821428571429 (0.127108074429),0.933553333333 (0.000146363322667),0.293771696084 (0.0156787166588)
0.696590909091 (0.0993565732608),0.687672509847 (0.0103236533832),0.850487413781 (0.00246981858583),0.672362504324 (0.0736153116723),0.00417981894273 (0.00130039207927),0.000800094124484 (0.000565766953604),0.496778280275 (0.0151170235139),nan (nan),0.0233107733775 (0.00344354969908),0.242244846563 (0.00343761151631),0.315590249808 (0.00905171860504),0.652381181717 (0.000819651520983),0.578662230159 (0.0172075915075),0.179323835943 (0.00883226272688),0.114212433497 (0.000745792277223),0.385703142684 (0.00458480793489),0.140266814402 (0.00250087567296),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.34856208903 (0.0114019226379),0.0118657184167 (0.00177827842879),0.887984750773 (0.00794411960287),0.00209744550278 (0.000654613945496),0.23354775593 (0.00997422330118),0.457142857143 (0.336448033003),0.93356 (0.00020461345671),0.273530262564 (0.00880698576157)
0.782352941176 (0.155409938984),0.6962642681 (0.00542909465949),0.851893752827 (0.00257119403065),0.677792787722 (0.0975938546816),0.00457896088403 (0.00150701693487),0.000601365634132 (0.00065144218129),0.494082125756 (0.013063473219),nan (nan),0.021578399587 (0.00236968071),0.24398456489 (0.00306082404156),0.32466914546 (0.00325451051537),1.22422353427 (0.0461105163826),0.575657698444 (0.0153952313601),0.192014532391 (0.00421386170243),0.124775489171 (0.000275132446269),0.391737088855 (0.00291305119299),0.141549923867 (0.00197357407963),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.349828417206 (0.00450179234939),0.010966487476 (0.0012123579548),0.883008046854 (0.00347085999799),0.00229792389182 (0.000759689747403),0.23360242911 (0.00345251422075),0.541666666667 (0.412478955692),0.933533333333 (0.000176131264182),0.287874885888 (0.00404168442987)
0.713453213453 (0.109713124007),0.692487320042 (0.00350488470052),0.850131357145 (0.00206571705717),0.706642316017 (0.0985502839827),0.00556774919615 (0.00172845848861),0.000802614673031 (0.000931820370154),0.497575907817 (0.0104179026641),nan (nan),0.022366608741 (0.002114605136),0.240966633885 (0.00412097335126),0.30668902884 (0.00678275183293),1.29166992505 (0.00243769139184),0.581099242298 (0.0124860246654),0.183450190167 (0.00839306498781),0.159811496735 (0.0460671314515),0.379372217675 (0.00507960852254),0.139440525228 (0.00274198546715),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.349073459858 (0.00625412032264),0.011367760046 (0.00109216510893),0.886507861831 (0.00456278772471),0.00279717730327 (0.000873387105795),0.233386072382 (0.00558916423637),0.425925925926 (0.321817540685),0.933586666667 (0.000197540431867),0.278635135703 (0.00840282815033)
